vaccines.name (NOT NULL);vaccines.registered (зарегистрировано) (NOT NULL);vaccines.prodused (произведено) (NOT NULL);vaccines.dealer (представительство);vaccines.form_description;vaccines.packing
Мультикан 6;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Вакцина состоит из двух компонентов: лиофилизированного, против чумы плотоядных, аденовирусных инфекций, парвовирусного и коронавирусного энтеритов собак- жидкого, против лептоспироза собак. Лиофилизированный компонент вакцины представляет собой сухую однородную мелкопористую массу желто-розового цвета. Жидкий компонент представляет собой бесцветную жидкость с серо-белым осадком, разбивающимся при встряхивании в гомогенную взвесь.;Лиофилизированный и жидкий компоненты вакцины выпускают в объеме соответственно по 1 и 2 мл во флаконах или ампулах вместимостью 3-10 мл. Во флаконе (ампуле) содержится по одной дозе каждого компонента вакцины. Жидкий компонент является растворителем лиофилизированного.
Мультикан 7;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Вакцина представлена в двух формах: лиофилизированный препарат, содержащий вирус чумы плотоядных- жидкий препарат, содержащий парвовирус собак, аденовирус собак типа 2, коронавирус собак и грибы рода Трихофитон и Микроспорум. Лиофилизированная вакцина представляет собой сухую пористую массу желтовато-розового цвета. Жидкий препарат по внешнему виду представляет собой однородную жидкость розового цвета с тонким осадком на дне, легко разбивающимся при встряхивании.;Лиофилизированную вакцину выпускают в объеме 1 мл во флаконах или ампулах вместимостью 3-10 мл. Жидкую вакцину выпускают в объеме 2 мл во флаконах или ампулах вместимостью 3-5 мл. В флаконе (ампуле) содержится одна доза вакцины. Жидкая вакцина является разбавителем лиофилизированной вакцины.
Мультикан 8;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Вакцина представлена двумя компонентами: лиофилизированным, содержащим аттенуированные штаммы вируса чумы плотоядных, аденовируса собак типа 2, парвовируса и коронавируса собак- жидким, содержащим инактивированные штаммы лептоспир серогрупп Каникола и Иктерогеморрагия и штамм вируса бешенства. Лиофилизированный компонент представляет собой сухую однородную мелкопористую массу желто-розового цвета. Жидкий компонент представляет собой гомогенную суспензию розового цвета с осадком на дне флакона (адъювант), который при встряхивании легко разбивается в гомогенную взвесь.;Лиофилизированный и жидкий компоненты вакцины выпускают в объеме соответственно по 1 и 2 мл во флаконах или ампулах вместимостью 3-10 мл. Во флаконе (ампуле) содержится по одной дозе каждого компонента вакцины. Допускается другая расфасовка вакцины, согласованная в установленном порядке. Жидкий компонент является растворителем лиофилизированного.
Мультифел 4;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Представляет собой прозрачную или слегка мутноватую жидкость, цвет которой может варьировать от светло-желтого до розового, с незначительным осадком на дне флакона, который при взбалтывании легко разбивается в гомогенную суспензию.;Вакцину расфасовывают по 1 мл в стеклянные флаконы или ампулы вместимостью 3 мл.
Нобивак DHP (Nobivac DHP);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Однородная сухая пористая масса белого цвета для приготовления суспензии для инъекций.;Упаковка 10 стеклянных флаконов по 1 дозе в каждом флаконе.
Нобивак DHPPi (Nobivac DHPPi);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Однородная сухая пористая масса белого цвета для приготовления суспензии для инъекций.;Вакцина по 1 дозе расфасована в стеклянные флаконы.
Нобивак KC (Nobivac KC);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Однородная сухая пористая масса для приготовления раствора для интраназального введения.;Упаковка 25 стеклянных флаконов с вакциной по 1 дозе в каждом флаконе и 25 стеклянных флаконов с разбавителем.
Нобивак Piro;МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Вакцина представляет собой однородную пористую массу розово-красного цвета, растворитель — бесцветную прозрачную жидкость.;Расфасовывают в стеклянных флаконах по 1 мл (1 доза).
Нобивак RL (Nobivac RL);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Суспензия розовато-бежевого или кремового цвета для подкожного введения.;Флакон 1 мл (1 доза).
Нобивак Лепто (Nobivac Lepto);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Бесцветная прозрачная суспензия для подкожного введения.;Упаковка 10 стеклянных флаконов по 1 дозе в каждом флаконе.
Нобивак Паппи DP (Nobivac Puppy DP);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Однородная сухая пористая масса бледно-розового цвета для приготовления суспензии для инъекций.;Упаковка 10 стеклянных флаконов по 1 дозе в каждом флаконе.
Нобивак рабиес (Nobivac rabies);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Суспензия розового или желто-коричневого цвета для подкожного или внутримышечного введения.;Упаковка 10 стеклянных флаконов по 1 дозе в каждом флаконе.
Нобивак Трикет Трио (Nobivac Tricat Trio);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);МСД Энимал Хэлс (MSDAnimal Health) (Нидерланды);Однородная пористая масса бледно-розового цвета.;Вакцина по 1 дозе расфасована в стеклянные флаконы.
Поливак ТМ Вакцина против дерматомикозов кошек;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Однородная жидкость светло-коричневого цвета с тонким осадком на дне, легко взбалтывающимся при встряхивании.;В герметически закрытых флаконах или ампулах, содержащих 1 или 2 доз (1 доза составляет 1 мл).
Поливак ТМ Вакцина против дерматомикозов собак;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Однородная жидкость светло-коричневого цвета с тонким осадком на дне, исчезающим при встряхивании.;Выпускают в герметически закрытых флаконах или ампулах, содержащих 1 или 2 дозы (1 доза составляет 0,6 мл).
Пюрвакс RCP (Purevax RCP);Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;Вакцина Purevax RCP состоит из нескольких компонентов, которые смешиваются в момент применения: лиофилизированный компонент, представляющий собой по внешнему виду — сухая однородная масса белого цвета- жидкий компонент – раствор для приготовления суспензии (вода для инъекций), по внешнему виду – прозрачная жидкость.;Компоненты вакцины Purevax RCP расфасованы в стеклянные флаконы по 1 мл (1 доза).
Пюрвакс RCPCh;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;лиофилизированная, сухая, однородная, пористая масса белого цвета.;Вакцину расфасовывают в стеклянные флаконы по 1 дозе и упаковывают в пластиковые коробки, которые содержат 10 флаконов вакцины (10 доз) и 10 флаконов растворителя по 1 мл.
Рабиген Моно;"""Virbac S.A.""";"""Virbac S.A.""";"""Virbac S.A.""";Одна доза жидкой вакцины составляет 1 см3.;
Рабизин;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;По внешнему виду вакцина представляет собой бесцветную опалесцирующую жидкость. При хранении допускается выпадение незначительного осадка, легко разбивающегося при встряхивании в гомогенную взвесь.;Вакцина Рабизин расфасована по 1 мл (1 иммунизирующая доза) в стеклянные флаконы.
Рабикан Вакцина антирабическая инактивированная сухая культуральная из штамма «Щелково-51»;ФКП «Щелковский биокомбинат»;ФКП «Щелковский биокомбинат»;ФКП «Щелковский биокомбинат»;Сухая пористая масса желтовато-коричневого цвета, которая при добавлении стерильной дистиллированной воды, в объеме равном объему вакцины во флаконе до высушивания, растворяется в течение 1-2 минут с образованием прозрачной жидкости желтовато-коричневого цвета.;Вакцина расфасована по 2- 4 или 10 см3 (1- 2- 5 доз для собак крупных пород или 2- 4- 10 доз во флаконы.
Рабикс;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Прозрачная жидкость желтоватого или розового цвета, на дне флакона возможно образование незначительного осадка, который при встряхивании легко разбивается в гомогенную взвесь.;Вакцина расфасована по 1,0 см3 (1 доза) в ампулы или флаконы.
Рабифел;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Прозрачная жидкость желтоватого или розового цвета, на дне флакона возможно образование незначительного осадка, который при встряхивании легко разбивается в гомогенную взвесь.;Вакцина расфасована по 1,0 см3 (1 доза) в ампулы или флаконы.
Фелиген CRP;"""Virbac S.A.""";"""Virbac S.A.""";"""Virbac S.A.""";Вакцина выпускается в сухом (для приготовления раствора) и жидком (раствор для инъекций) виде. Сухая вакцина представляет собой пористую массу. Одна доза вакцины составляет 1 см3.;
Эурикан DHPPI2;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;Вакцина  - представляет сухую однородную пористую массу белого цвета.;«Эурикан DHPPI2» расфасовывают в стеклянные флаконы по 1 мл (1 доза).
Эурикан DHPPI2-L;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;Вакцина состоит из двух компонентов: лиофилизированной - представляет сухую однородную пористую массу белого цвета- жидкой, содержащей инактивированные лептоспиры серогрупп Иктеррогеморрагиа и Каникола - представляет собой бесцветную прозрачную жидкость.;Компоненты вакцины «Эурикан DHPPI2-L» расфасовывают в стеклянные флаконы по 1 мл (1 доза).
Эурикан DHPPI2-LR;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;Суспензия для инъекций, приготовляемая непосредственно перед введением из двух компонентов: лиофилизированного – «DHPPI2» и жидкого – «Эурикан-LR». Лиофилизированный компонент вакцины по внешнему виду представляет сухую однородную пористую массу бежевого цвета, жидкий компонент - бесцветную жидкость с белым осадком, образующим при встряхивании однородную взвесь.;Компоненты вакцины «Эурикан DHPPI.-LR» расфасованы по 1 прививной дозе (1 см') в стеклянные флаконы.
Эурикан Пиро;Boehringer Ingelheim International GmbH;Мериал С.А.С. (Merial S.A.S.), Франция;Boehringer Ingelheim International GmbH;По внешнему виду вакцина представляет собой сухую однородную массу темно-розового цвета- разбавитель — прозрачную бесцветную жидкость.;Вакцина расфасована по 1 дозе (1 см3) в стеклянные флаконы.
